is_2_11_7uM,,is_2_11_15uM1,,is_2_11_31uM,,is_2_11_62uM,,is_2_11_125uM,,is_2_11_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
777.9331055,-0.001730905962,777.9331055,-0.001061011222,777.9331055,-0.0006114618736,777.9331055,0.002094116062,777.9331055,0.004906574264,777.9331055,0.01463402528,
777.5131836,-0.001987165073,777.5131836,-0.001089053927,777.5131836,-0.0001740223815,777.5131836,0.002005167073,777.5131836,0.005002691876,777.5131836,0.01514840033,
776.953186,-0.001668455079,776.953186,-0.001499209669,776.953186,-0.0004318737774,776.953186,0.001964626135,776.953186,0.004634465091,776.953186,0.01479099784,
776.5330811,-0.002150553511,776.5330811,-0.001483163796,776.5330811,-0.0009474277031,776.5330811,0.001647085417,776.5330811,0.005034718197,776.5330811,0.01495863684,
775.9728394,-0.001472586649,775.9728394,-0.0009745995631,775.9728394,-0.001013907953,775.9728394,0.001876457711,775.9728394,0.004411215428,775.9728394,0.01498484053,
775.5526123,-0.002669835463,775.5526123,-0.001012771623,775.5526123,-0.0008385166293,775.5526123,0.001597224385,775.5526123,0.004707860295,775.5526123,0.01486262027,
774.9921875,-0.002286329167,774.9921875,-0.001449677045,774.9921875,-0.0005875762436,774.9921875,0.001234001247,774.9921875,0.00477388734,774.9921875,0.01471552998,
774.4316406,-0.00233823806,774.4316406,-0.00161388691,774.4316406,-0.0009125564247,774.4316406,0.001669042744,774.4316406,0.004366892856,774.4316406,0.01441478264,
774.0111694,-0.00175349135,774.0111694,-0.001004042453,774.0111694,-0.001176320598,774.0111694,0.001509104623,774.0111694,0.004539030604,774.0111694,0.01505662967,
773.4503784,-0.00242046616,773.4503784,-0.001809021458,773.4503784,-0.0009668510756,773.4503784,0.001467233174,773.4503784,0.004264485091,773.4503784,0.01464336924,
773.0297241,-0.002482912038,773.0297241,-0.002043180633,773.0297241,-0.0009361142293,773.0297241,0.001945670112,773.0297241,0.00399217708,773.0297241,0.01486578118,
772.46875,-0.002399511635,772.46875,-0.001461338368,772.46875,-0.0008911156328,772.46875,0.001898322604,772.46875,0.004483422264,772.46875,0.01510875765,
772.0479736,-0.002169717103,772.0479736,-0.001392294769,772.0479736,-0.0008833140018,772.0479736,0.001611956046,772.0479736,0.004784906283,772.0479736,0.01472230535,
771.4868164,-0.002335199853,771.4868164,-0.001790821552,771.4868164,-0.001291496097,771.4868164,0.001621387666,771.4868164,0.004397146869,771.4868164,0.01477680262,
771.0658569,-0.002867582021,771.0658569,-0.001660822076,771.0658569,-0.0009550731629,771.0658569,0.001381528913,771.0658569,0.004159017466,771.0658569,0.01521882229,
770.5044556,-0.002683470724,770.5044556,-0.001646329532,770.5044556,-0.001278126729,770.5044556,0.001765226247,770.5044556,0.004658222198,770.5044556,0.01467378531,
769.9429321,-0.002514260123,769.9429321,-0.001730802818,769.9429321,-0.001065659337,769.9429321,0.0009175389423,769.9429321,0.004146342166,769.9429321,0.01454488002,
769.5217285,-0.002729415894,769.5217285,-0.001930420636,769.5217285,-0.001463815104,769.5217285,0.0009004962048,769.5217285,0.004098649602,769.5217285,0.01458492596,
