is_2_8_7uM,,is_2_8_15uM,,is_2_8_31uM,,is_2_8_62uM,,is_2_8_125uM1,,is_2_8_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
775.9728394,-0.002445898484,775.9728394,-0.002130977111,775.9728394,-0.002612665528,775.9728394,-0.00257113413,775.9728394,-0.001698676031,775.9728394,-0.0006780968979,
775.5526123,-0.002997478005,775.5526123,-0.002207166282,775.5526123,-0.002320008818,775.5526123,-0.002185171004,775.5526123,-0.0009682974778,775.5526123,-7.822034968E-5,
774.9921875,-0.003173798556,774.9921875,-0.002788885264,774.9921875,-0.002481213305,774.9921875,-0.002394568874,774.9921875,-0.0015255732,774.9921875,-0.0007208950701,
774.4316406,-0.002549414989,774.4316406,-0.002953309566,774.4316406,-0.00230816449,774.4316406,-0.002082031686,774.4316406,-0.00176230853,774.4316406,-0.0006086184294,
774.0111694,-0.002953566611,774.0111694,-0.002470711712,774.0111694,-0.002759665949,774.0111694,-0.002254500752,774.0111694,-0.0008372248267,774.0111694,-0.0007790380041,
773.4503784,-0.003305092687,773.4503784,-0.002728129737,773.4503784,-0.003025087295,773.4503784,-0.002148183761,773.4503784,-0.001066847122,773.4503784,-0.0008791289874,
773.0297241,-0.00279325759,773.0297241,-0.002670967486,773.0297241,-0.002812958788,773.0297241,-0.002604791895,773.0297241,-0.001483318629,773.0297241,-0.0008280787733,
772.46875,-0.002998609096,772.46875,-0.002445074962,772.46875,-0.002920758678,772.46875,-0.002581272973,772.46875,-0.00164679368,772.46875,-0.0009960362222,
772.0479736,-0.00306940265,772.0479736,-0.002516782377,772.0479736,-0.002921067178,772.0479736,-0.003079683986,772.0479736,-0.00146102882,772.0479736,-0.0009846723406,
771.4868164,-0.003410150995,771.4868164,-0.002696179552,771.4868164,-0.002804419957,771.4868164,-0.002484044526,771.4868164,-0.001458087703,771.4868164,-0.0009813663783,
771.0658569,-0.003312594024,771.0658569,-0.003201499349,771.0658569,-0.003305812133,771.0658569,-0.002540150424,771.0658569,-0.001880215481,771.0658569,-0.0009281584062,
770.5044556,-0.003369312268,770.5044556,-0.003022825113,770.5044556,-0.002653009491,770.5044556,-0.003091455903,770.5044556,-0.001232182723,770.5044556,-0.001078622066,
769.9429321,-0.003515081014,769.9429321,-0.003137255087,769.9429321,-0.003141623922,769.9429321,-0.003261931939,769.9429321,-0.00203797617,769.9429321,-0.001358284848,
769.5217285,-0.003005704377,769.5217285,-0.003143165959,769.5217285,-0.002970329486,769.5217285,-0.002767433878,769.5217285,-0.001295780414,769.5217285,-0.001299909782,
768.960022,-0.003378815949,768.960022,-0.003374295309,768.960022,-0.003178372514,768.960022,-0.002723756479,768.960022,-0.001498642145,768.960022,-0.00101344299,
768.5386963,-0.003529152134,768.5386963,-0.003173181787,768.5386963,-0.002933769021,768.5386963,-0.002962770872,768.5386963,-0.001940522809,768.5386963,-0.001410666155,
767.9767456,-0.003980976995,767.9767456,-0.00328726368,767.9767456,-0.003440096974,767.9767456,-0.003355441615,767.9767456,-0.002309194533,767.9767456,-0.00112607982,
767.5552368,-0.003422530368,767.5552368,-0.003190193092,767.5552368,-0.003527662717,767.5552368,-0.003124559298,767.5552368,-0.001876607072,767.5552368,-0.001467736438,
766.993103,-0.003569308203,766.993103,-0.003061228897,766.993103,-0.00342165702,766.993103,-0.002998506185,766.993103,-0.00210650498,766.993103,-0.001736268867,
766.4309082,-0.003391966689,766.4309082,-0.003400288522,766.4309082,-0.003280378645,766.4309082,-0.002989456989,766.4309082,-0.001913101994,766.4309082,-0.001607026788,
766.0091553,-0.003617675509,766.0091553,-0.003273698734,766.0091553,-0.003485551104,766.0091553,-0.003350612475,766.0091553,-0.002329071984,766.0091553,-0.001559827826,
765.4466553,-0.003765875939,765.4466553,-0.003520473372,765.4466553,-0.003599602496,765.4466553,-0.003608844476,765.4466553,-0.00237119291,765.4466553,-0.001599650714,
765.0247803,-0.004010370467,765.0247803,-0.003092484083,765.0247803,-0.003673686413,765.0247803,-0.003487451468,765.0247803,-0.002586059272,765.0247803,-0.002003449947,
764.4620972,-0.003542144084,764.4620972,-0.003295330564,764.4620972,-0.003998367116,764.4620972,-0.003256998956,764.4620972,-0.002446619328,764.4620972,-0.00179742102,
764.0400391,-0.003732769983,764.0400391,-0.003584096208,764.0400391,-0.003290603403,764.0400391,-0.003631229745,764.0400391,-0.002292303136,764.0400391,-0.001991854748,
763.4771729,-0.004102847539,763.4771729,-0.003750426695,763.4771729,-0.003702485003,763.4771729,-0.003326106351,763.4771729,-0.002669012174,763.4771729,-0.002063018735,
763.0549316,-0.004004266113,763.0549316,-0.003837622236,763.0549316,-0.003777834354,763.0549316,-0.003584506921,763.0549316,-0.002357599325,763.0549316,-0.001663142932,
762.4918823,-0.00434684474,762.4918823,-0.003851528745,762.4918823,-0.004100231919,762.4918823,-0.00355919241,762.4918823,-0.002566193463,762.4918823,-0.001970467158,
762.069519,-0.004524872638,762.069519,-0.00396353472,762.069519,-0.004126489162,762.069519,-0.003686058335,762.069519,-0.002791765844,762.069519,-0.002551113255,
761.5062256,-0.004170897417,761.5062256,-0.003964765929,761.5062256,-0.003695400897,761.5062256,-0.003841881407,761.5062256,-0.002850866644,761.5062256,-0.002039109822,
760.9428711,-0.004219915718,760.9428711,-0.003821919207,760.9428711,-0.00398384966,760.9428711,-0.003666961333,760.9428711,-0.002834767802,760.9428711,-0.002381130354,
