mbg_3_138_250uM,,mbg_3_138_7uM,,mbg_3_138_15uM,,mbg_3_138_31uM,,mbg_3_138_62uM,,mbg_3_138_125uM,,mbg_3_138_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
774.9921875,-0.002191764535,774.9921875,-0.003228993155,774.9921875,-0.003053363413,774.9921875,-0.002960816957,774.9921875,-0.002969661029,774.9921875,-0.002616576618,774.9921875,-0.002191764535,
774.4316406,-0.002129998058,774.4316406,-0.003260801313,774.4316406,-0.003018712159,774.4316406,-0.003105489071,774.4316406,-0.002906976501,774.4316406,-0.002845569048,774.4316406,-0.002129998058,
774.0111694,-0.002281436464,774.0111694,-0.003212754149,774.0111694,-0.002777105197,774.0111694,-0.003305966267,774.0111694,-0.00308014662,774.0111694,-0.003340697149,774.0111694,-0.002281436464,
773.4503784,-0.002086926484,773.4503784,-0.00295747444,773.4503784,-0.002963953419,773.4503784,-0.00320910546,773.4503784,-0.003076137044,773.4503784,-0.003458638676,773.4503784,-0.002086926484,
773.0297241,-0.002161011333,773.0297241,-0.003146095667,773.0297241,-0.002784306882,773.0297241,-0.002720721066,773.0297241,-0.002890879754,773.0297241,-0.003075879999,773.0297241,-0.002161011333,
772.46875,-0.002300027991,772.46875,-0.003270615824,772.46875,-0.00293515739,772.46875,-0.003194201738,772.46875,-0.002987400396,772.46875,-0.002813781612,772.46875,-0.002300027991,
772.0479736,-0.002067656023,772.0479736,-0.003095465479,772.0479736,-0.002961228136,772.0479736,-0.003194150282,772.0479736,-0.00286171888,772.0479736,-0.003021025797,772.0479736,-0.002067656023,
771.4868164,-0.002216180321,771.4868164,-0.003062257078,771.4868164,-0.003377480432,771.4868164,-0.003118750872,771.4868164,-0.003191734897,771.4868164,-0.00323649589,771.4868164,-0.002216180321,
771.0658569,-0.002265110612,771.0658569,-0.003356006695,771.0658569,-0.002806786215,771.0658569,-0.002531400416,771.0658569,-0.002797629917,771.0658569,-0.003270718502,771.0658569,-0.002265110612,
770.5044556,-0.00211500586,770.5044556,-0.003436552826,770.5044556,-0.003086983692,770.5044556,-0.003153034486,770.5044556,-0.003300622804,770.5044556,-0.003073052736,770.5044556,-0.00211500586,
