is_2_9_7uM,,is_2_9_15uM1,,is_2_9_31uM2,,is_2_9_15uM,,is_2_9_31uM,,is_2_9_62uM,,is_2_9_125uM,,is_2_9_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
783.5256958,-0.002452797024,783.5256958,-0.002279273467,783.5256958,-0.002240903676,783.5256958,-0.0006808881881,783.5256958,-0.0001179722167,783.5256958,-0.0009632350993,783.5256958,-0.0008562914445,783.5256958,2.666336513E-5,
782.96698,-0.001622139593,782.96698,-0.001530886977,782.96698,-0.002169974847,782.96698,0.0001284910686,782.96698,0.0004143212864,782.96698,0.0002131714864,782.96698,-0.0003909609513,782.96698,0.001272397232,
782.5478516,-0.001492450829,782.5478516,-0.001542133396,782.5478516,-0.001636736211,782.5478516,-0.0001327229693,782.5478516,1.242528242E-6,782.5478516,0.0003281509271,782.5478516,0.0002195685083,782.5478516,0.000902934582,
781.9889526,-0.002032462507,781.9889526,-0.001732349861,781.9889526,-0.001735134399,781.9889526,-0.0002138689742,781.9889526,0.0004852446145,781.9889526,-0.0003449746873,781.9889526,-0.0001736601262,781.9889526,0.0009613809525,
781.5697021,-0.002132470952,781.5697021,-0.001223199768,781.5697021,-0.002042098437,781.5697021,-0.0001385196083,781.5697021,0.0001848651591,781.5697021,0.0001907438127,781.5697021,-0.000274770282,781.5697021,0.001203395892,
781.0105591,-0.002430968685,781.0105591,-0.001871503773,781.0105591,-0.00171770493,781.0105591,-0.0001523380924,781.0105591,5.915346628E-5,781.0105591,-0.0003065369674,781.0105591,-0.0003772535129,781.0105591,0.0009172795108,
780.4512939,-0.002006232738,780.4512939,-0.001733742072,780.4512939,-0.001840624609,780.4512939,5.021906873E-6,780.4512939,0.0001632935018,780.4512939,0.0009093676927,780.4512939,-0.000928778376,780.4512939,0.0008630409138,
780.0317383,-0.002431689529,780.0317383,-0.002138601616,780.0317383,-0.001954644918,780.0317383,-0.0006101176841,780.0317383,0.0003430986835,780.0317383,-0.0005238230806,780.0317383,-0.0003841331636,780.0317383,0.0005858838558,
779.47229,-0.00223570154,779.47229,-0.001572879031,779.47229,-0.002117581898,779.47229,-0.0006853852537,779.47229,8.620112567E-6,779.47229,-0.0001661561255,779.47229,-0.0004541130038,779.47229,0.0002997852862,
779.0526123,-0.002445589751,779.0526123,-0.00227644085,779.0526123,-0.002221176634,779.0526123,7.256442768E-5,779.0526123,-3.779334975E-6,779.0526123,-0.000393547205,779.0526123,-0.0005861802492,779.0526123,0.0007754848921,
778.4929199,-0.002742689103,778.4929199,-0.002082856139,778.4929199,-0.001527946326,778.4929199,-0.0008175372495,778.4929199,-0.0003647354024,778.4929199,-0.0003753396159,778.4929199,-0.0007652911008,778.4929199,0.00052427419,
777.9331055,-0.003180428408,777.9331055,-0.002157559851,777.9331055,-0.002156426432,777.9331055,-0.0005767187104,777.9331055,-0.0002519526752,777.9331055,-2.826655691E-5,777.9331055,-0.0008221879252,777.9331055,5.627974315E-5,
