is_2_1_7uM,,mbg_3_127_5_15uM,,mbg_3_127_5_31uM1,,mbg_3_127_5_62uM3,,mbg_3_127_5_125uM2,,mbg_3_127_5_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
764.0400391,-0.004535735,764.0400391,-0.004487316,764.0400391,-0.004420545,764.0400391,0.00576099,764.0400391,0.004776034,764.0400391,-0.004561043
763.4771729,-0.004600233,763.4771729,-0.004912295,763.4771729,-0.004412807,763.4771729,0.005633313,763.4771729,0.004500266,763.4771729,-0.00492284
763.0549316,-0.004776519,763.0549316,-0.004757521,763.0549316,-0.004138386,763.0549316,0.005704517,763.0549316,0.004423689,763.0549316,-0.004852707
762.4918823,-0.004962458,762.4918823,-0.004760952,762.4918823,-0.004879942,762.4918823,0.005291801,762.4918823,0.004272824,762.4918823,-0.004848713
762.069519,-0.004893918,762.069519,-0.004807497,762.069519,-0.004739445,762.069519,0.005185167,762.069519,0.00388419,762.069519,-0.004877741
761.5062256,-0.004905078,761.5062256,-0.005086408,761.5062256,-0.00471471,761.5062256,0.005430203,761.5062256,0.004242475,761.5062256,-0.005085998
760.9428711,-0.005156299,760.9428711,-0.005164638,760.9428711,-0.004768172,760.9428711,0.005493588,760.9428711,0.004600087,760.9428711,-0.004974793
760.5202026,-0.005218557,760.5202026,-0.005051253,760.5202026,-0.004920946,760.5202026,0.005236385,760.5202026,0.004214767,760.5202026,-0.005249146
759.956604,-0.005353888,759.956604,-0.005049513,759.956604,-0.005061488,759.956604,0.005095976,759.956604,0.003819969,759.956604,-0.005071005
759.5338745,-0.00544291,759.5338745,-0.005472614,759.5338745,-0.004764332,759.5338745,0.004515175,759.5338745,0.003814616,759.5338745,-0.005258353
758.9700317,-0.005669549,758.9700317,-0.005584662,758.9700317,-0.005535542,758.9700317,0.004645506,758.9700317,0.003828143,758.9700317,-0.00580714
758.5471191,-0.006093884,758.5471191,-0.005660912,758.5471191,-0.005078476,758.5471191,0.004640849,758.5471191,0.003913861,758.5471191,-0.005685594
757.9831543,-0.005825377,757.9831543,-0.005698828,757.9831543,-0.005297582,757.9831543,0.004836339,757.9831543,0.00398609,757.9831543,-0.005586043
757.5600586,-0.006047272,757.5600586,-0.00550022,757.5600586,-0.005702865,757.5600586,0.004801997,757.5600586,0.003243453,757.5600586,-0.005821392
756.9958496,-0.005947804,756.9958496,-0.005851786,756.9958496,-0.005409727,756.9958496,0.00467871,756.9958496,0.003244366,756.9958496,-0.005900053
756.4315186,-0.006248029,756.4315186,-0.00601577,756.4315186,-0.005676038,756.4315186,0.004343126,756.4315186,0.00321886,756.4315186,-0.005922014
756.0081787,-0.006233638,756.0081787,-0.005559822,756.0081787,-0.005496692,756.0081787,0.004214584,756.0081787,0.003181361,756.0081787,-0.006155038
755.4436646,-0.006380081,755.4436646,-0.006181631,755.4436646,-0.005846116,755.4436646,0.004203685,755.4436646,0.003186133,755.4436646,-0.006241038
755.0202026,-0.006313958,755.0202026,-0.006148147,755.0202026,-0.005631988,755.0202026,0.004491739,755.0202026,0.003373899,755.0202026,-0.005970324
754.4554443,-0.006344725,754.4554443,-0.006256041,754.4554443,-0.005994732,754.4554443,0.003997114,754.4554443,0.002968709,754.4554443,-0.006314775
754.0317993,-0.006224809,754.0317993,-0.006352582,754.0317993,-0.006218838,754.0317993,0.004232437,754.0317993,0.003194399,754.0317993,-0.006145697
753.4669189,-0.006423902,753.4669189,-0.006261603,753.4669189,-0.006125483,753.4669189,0.003439854,753.4669189,0.003246947,753.4669189,-0.006211846
753.0430908,-0.00673272,753.0430908,-0.006778901,753.0430908,-0.006740162,753.0430908,0.00418105,753.0430908,0.003390934,753.0430908,-0.006444766
752.4779663,-0.00673221,752.4779663,-0.006683934,752.4779663,-0.006410078,752.4779663,0.003428165,752.4779663,0.002606394,752.4779663,-0.00671865
752.0540161,-0.006789962,752.0540161,-0.006601489,752.0540161,-0.006792765,752.0540161,0.00376286,752.0540161,0.002512758,752.0540161,-0.006495772
751.4887085,-0.007329488,751.4887085,-0.007000004,751.4887085,-0.00645609,751.4887085,0.003290921,751.4887085,0.002819833,751.4887085,-0.00710402
751.0646362,-0.00681356,751.0646362,-0.007046463,751.0646362,-0.006718039,751.0646362,0.003427591,751.0646362,0.002418361,751.0646362,-0.007057771
750.4990845,-0.006993891,750.4990845,-0.006925518,750.4990845,-0.006941007,750.4990845,0.003272481,750.4990845,0.002325442,750.4990845,-0.007162028
749.9334106,-0.007386855,749.9334106,-0.007321241,749.9334106,-0.006933772,749.9334106,0.00353048,749.9334106,0.001983765,749.9334106,-0.007195993
749.5090942,-0.007556366,749.5090942,-0.007343079,749.5090942,-0.007053441,749.5090942,0.003315048,749.5090942,0.00216456,749.5090942,-0.007162282
748.9432373,-0.007632881,748.9432373,-0.00766213,748.9432373,-0.007164777,748.9432373,0.00298002,748.9432373,0.002189665,748.9432373,-0.007196706
748.5187378,-0.007966205,748.5187378,-0.008167602,748.5187378,-0.007704449,748.5187378,0.002607696,748.5187378,0.001011169,748.5187378,-0.007911305
747.9526978,-0.008044123,747.9526978,-0.008181574,747.9526978,-0.007776463,747.9526978,0.002226116,747.9526978,0.001224059,747.9526978,-0.008094433
747.5280762,-0.008357326,747.5280762,-0.008200778,747.5280762,-0.008279059,747.5280762,0.002316464,747.5280762,0.001193558,747.5280762,-0.0082434
746.961792,-0.008638788,746.961792,-0.008408362,746.961792,-0.008009817,746.961792,0.002303608,746.961792,0.001003178,746.961792,-0.00819143
746.5369873,-0.008397749,746.5369873,-0.008446293,746.5369873,-0.007770971,746.5369873,0.002179779,746.5369873,0.001184006,746.5369873,-0.00858316
745.97052,-0.008964698,745.97052,-0.008874722,745.97052,-0.008069583,745.97052,0.001773752,745.97052,0.001188055,745.97052,-0.008547424
745.5455933,-0.008747282,745.5455933,-0.008590925,745.5455933,-0.007925437,745.5455933,0.00222237,745.5455933,0.000627826,745.5455933,-0.008612751
744.9789429,-0.00882095,744.9789429,-0.008744695,744.9789429,-0.008566612,744.9789429,0.001781809,744.9789429,0.000793716,744.9789429,-0.008555495
744.553833,-0.009063782,744.553833,-0.008711155,744.553833,-0.008549962,744.553833,0.001409108,744.553833,0.000746908,744.553833,-0.008716331
743.9869995,-0.009113316,743.9869995,-0.009190571,743.9869995,-0.008510365,743.9869995,0.001483181,743.9869995,0.000141826,743.9869995,-0.00890409
743.5617676,-0.009164314,743.5617676,-0.009126143,743.5617676,-0.008968401,743.5617676,0.001535575,743.5617676,0.000263573,743.5617676,-0.009084874
742.9946899,-0.008770825,742.9946899,-0.008592093,742.9946899,-0.008114302,742.9946899,0.002078354,742.9946899,0.00135821,742.9946899,-0.008672689
742.5693359,-0.009343774,742.5693359,-0.009295179,742.5693359,-0.009004304,742.5693359,0.001268918,742.5693359,0.000256606,742.5693359,-0.009374732
742.0020142,-0.009338099,742.0020142,-0.009289857,742.0020142,-0.009341291,742.0020142,0.000832073,742.0020142,-0.000181164,742.0020142,-0.009364497
741.4346313,-0.009503,741.4346313,-0.0094411,741.4346313,-0.009077168,741.4346313,0.001051543,741.4346313,0.000271137,741.4346313,-0.009552889
