is_2_7_7uM,,is_2_7_15uM,,is_2_7_31uM,,is_2_7_62uM,,is_2_7_125uM,,is_2_7_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
773.4503784,-0.002547356067,773.4503784,-0.002283239039,773.4503784,-0.002223339863,773.4503784,-0.002227666555,773.4503784,-0.001966962591,773.4503784,-0.001179521787,
773.0297241,-0.002744386904,773.0297241,-0.002293899423,773.0297241,-0.001800205209,773.0297241,-0.001974280924,773.0297241,-0.001915473025,773.0297241,-0.001817631302,
772.46875,-0.00252331933,772.46875,-0.002344520297,772.46875,-0.002119900426,772.46875,-0.002504171338,772.46875,-0.002450017026,772.46875,-0.001564367441,
772.0479736,-0.002795623848,772.0479736,-0.002528672339,772.0479736,-0.00210238318,772.0479736,-0.002320420928,772.0479736,-0.002277883003,772.0479736,-0.001813042909,
771.4868164,-0.002505355282,771.4868164,-0.002263101982,771.4868164,-0.002169511048,771.4868164,-0.002243066905,771.4868164,-0.00225414033,771.4868164,-0.002319648396,
771.0658569,-0.002626868663,771.0658569,-0.002188622486,771.0658569,-0.002077961108,771.0658569,-0.002125310013,771.0658569,-0.002390192356,771.0658569,-0.002036893973,
770.5044556,-0.002573604695,770.5044556,-0.002500207862,770.5044556,-0.002429321408,770.5044556,-0.002413361333,770.5044556,-0.00233226479,770.5044556,-0.002200779039,
769.9429321,-0.002688873326,769.9429321,-0.002587808995,769.9429321,-0.00236501405,769.9429321,-0.00256573013,769.9429321,-0.001983145252,769.9429321,-0.002041840693,
769.5217285,-0.002759203082,769.5217285,-0.002796189627,769.5217285,-0.002654553158,769.5217285,-0.002059669467,769.5217285,-0.002308782656,769.5217285,-0.001798194367,
768.960022,-0.003065290162,768.960022,-0.002429012442,768.960022,-0.002514002845,768.960022,-0.002827001037,768.960022,-0.002720515244,768.960022,-0.002088884357,
768.5386963,-0.00291633606,768.5386963,-0.00246180594,768.5386963,-0.002448729938,768.5386963,-0.002539223991,768.5386963,-0.00306940265,768.5386963,-0.00255240011,
767.9767456,-0.003117106156,767.9767456,-0.002704462968,767.9767456,-0.002524709096,767.9767456,-0.002781374846,767.9767456,-0.002732194029,767.9767456,-0.002504840493,
767.5552368,-0.003227143083,767.5552368,-0.003023750614,767.5552368,-0.002433491405,767.5552368,-0.002458150964,767.5552368,-0.002727460815,767.5552368,-0.00266824034,
766.993103,-0.003087189281,766.993103,-0.002903068205,766.993103,-0.002787033329,766.993103,-0.002417583019,766.993103,-0.002874473808,766.993103,-0.002248835284,
766.4309082,-0.003209824907,766.4309082,-0.003192968434,766.4309082,-0.002766404999,766.4309082,-0.002815067535,766.4309082,-0.002957885852,766.4309082,-0.002646886045,
766.0091553,-0.003152880119,766.0091553,-0.003234902862,766.0091553,-0.002991256537,766.0091553,-0.002902399516,766.0091553,-0.003192351665,766.0091553,-0.002357135992,
765.4466553,-0.003689908423,765.4466553,-0.002675083699,765.4466553,-0.002920244355,765.4466553,-0.002805963159,765.4466553,-0.00303716911,765.4466553,-0.002570465207,
765.0247803,-0.003636517795,765.0247803,-0.002993158996,765.0247803,-0.002791457111,765.0247803,-0.002904405352,765.0247803,-0.003468808252,765.0247803,-0.002067965223,
764.4620972,-0.003614184214,764.4620972,-0.003188188886,764.4620972,-0.003171074437,764.4620972,-0.002635925543,764.4620972,-0.003283923957,764.4620972,-0.002625993919,
764.0400391,-0.003617932089,764.0400391,-0.003137563588,764.0400391,-0.002819542773,764.0400391,-0.002797681373,764.0400391,-0.003099063644,764.0400391,-0.002546584001,
763.4771729,-0.003625222715,763.4771729,-0.003299800679,763.4771729,-0.00309962919,763.4771729,-0.003005961422,763.4771729,-0.002658618148,763.4771729,-0.003123634029,
763.0549316,-0.003661057679,763.0549316,-0.003059172537,763.0549316,-0.003501061117,763.0549316,-0.002662991872,763.0549316,-0.003321739379,763.0549316,-0.002862644615,
762.4918823,-0.003936908208,762.4918823,-0.00370284426,762.4918823,-0.002733274363,762.4918823,-0.003519857069,762.4918823,-0.003140082117,762.4918823,-0.002948681591,
762.069519,-0.003998469561,762.069519,-0.003211315256,762.069519,-0.003502499079,762.069519,-0.003116026754,762.069519,-0.003206946887,762.069519,-0.003025138751,
761.5062256,-0.003979489207,761.5062256,-0.003695400897,761.5062256,-0.00328803435,761.5062256,-0.00299634668,761.5062256,-0.003170097945,761.5062256,-0.002905793721,
760.9428711,-0.003726405092,760.9428711,-0.003570078406,760.9428711,-0.003320557764,760.9428711,-0.003152314806,760.9428711,-0.003327801824,760.9428711,-0.003178321291,
760.5202026,-0.004214993678,760.5202026,-0.003393302206,760.5202026,-0.003430697368,760.5202026,-0.003198004793,760.5202026,-0.003670708975,760.5202026,-0.003574083559,
759.956604,-0.004139668774,759.956604,-0.003948964644,759.956604,-0.003503577551,759.956604,-0.003480261192,759.956604,-0.0039002751,759.956604,-0.003167117015,
759.5338745,-0.004111514427,759.5338745,-0.003794668242,759.5338745,-0.003886267543,759.5338745,-0.003469218966,759.5338745,-0.00345417019,759.5338745,-0.003256896278,
758.9700317,-0.0044012242,758.9700317,-0.004043916706,758.9700317,-0.004258623812,758.9700317,-0.003508918453,758.9700317,-0.003586868988,758.9700317,-0.003432906,
758.5471191,-0.004398764577,758.5471191,-0.00409807777,758.5471191,-0.0040523801,758.5471191,-0.003823971841,758.5471191,-0.00372917694,758.5471191,-0.00324898283,
757.9831543,-0.004605509806,757.9831543,-0.003932649735,757.9831543,-0.003856762778,757.9831543,-0.003968818579,757.9831543,-0.00414351467,757.9831543,-0.00345185888,
757.5600586,-0.004413524177,757.5600586,-0.004174384288,757.5600586,-0.004241654184,757.5600586,-0.003730922239,757.5600586,-0.003929981962,757.5600586,-0.003582145087,
756.9958496,-0.004327776842,756.9958496,-0.004482140299,756.9958496,-0.004145155661,756.9958496,-0.00372522464,756.9958496,-0.004142796621,756.9958496,-0.003455454251,
756.4315186,-0.004742875695,756.4315186,-0.004612681456,756.4315186,-0.004040736705,756.4315186,-0.004104488529,756.4315186,-0.004054380115,756.4315186,-0.003933932632,
756.0081787,-0.00448772544,756.0081787,-0.004243653733,756.0081787,-0.004499356728,756.0081787,-0.004022168461,756.0081787,-0.004285947885,756.0081787,-0.003951734863,
755.4436646,-0.005117312539,755.4436646,-0.004642544314,755.4436646,-0.004182024393,755.4436646,-0.003867384745,755.4436646,-0.004331006203,755.4436646,-0.003863690188,
755.0202026,-0.004995316733,755.0202026,-0.004486290738,755.0202026,-0.00422324799,755.0202026,-0.004078537691,755.0202026,-0.004705593456,755.0202026,-0.003916334361,
754.4554443,-0.005410391837,754.4554443,-0.004856597167,754.4554443,-0.004401788116,754.4554443,-0.00454300968,754.4554443,-0.004547979217,754.4554443,-0.004445348401,
754.0317993,-0.005266332068,754.0317993,-0.005002635531,754.0317993,-0.004627587739,754.0317993,-0.00464525912,754.0317993,-0.004668205511,754.0317993,-0.004057149868,
753.4669189,-0.005205615424,753.4669189,-0.004845026881,753.4669189,-0.004560940899,753.4669189,-0.004350535106,753.4669189,-0.004768735729,753.4669189,-0.004353354219,
753.0430908,-0.005112912506,753.0430908,-0.005010875408,753.0430908,-0.005131434184,753.0430908,-0.004731353372,753.0430908,-0.004884651862,753.0430908,-0.004389077891,
