is_2_5_7uM,,is_2_5_15uM1,,is_2_5_31uM,,is_2_5_62uM,,is_2_5_125uM,,is_2_5_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
736.4651489,-0.008638788015,736.4651489,-0.008438168094,736.4651489,-0.008955012076,736.4651489,-0.004539833404,736.4651489,-0.006420280784,736.4651489,-0.003996571526,
736.0388184,-0.008708464913,736.0388184,-0.008571942337,736.0388184,-0.008963836357,736.0388184,-0.00452118367,736.0388184,-0.006257572211,736.0388184,-0.0040261182,
735.4702148,-0.009092732333,735.4702148,-0.009292239323,735.4702148,-0.009422001429,735.4702148,-0.005042655859,735.4702148,-0.006745005026,735.4702148,-0.004606995266,
735.0437012,-0.009206132032,735.0437012,-0.009159853682,735.0437012,-0.009342912585,735.0437012,-0.004817584064,735.0437012,-0.006735982373,735.0437012,-0.004425003659,
734.4749146,-0.008924429305,734.4749146,-0.009022610262,734.4749146,-0.009436996654,734.4749146,-0.004988305271,734.4749146,-0.006655026227,734.4749146,-0.004395740572,
734.0482788,-0.008598184213,734.0482788,-0.00887832325,734.0482788,-0.009237708524,734.0482788,-0.004813385662,734.0482788,-0.006471697707,734.0482788,-0.004414753988,
733.4793091,-0.008890091442,733.4793091,-0.008753624745,733.4793091,-0.009263150394,733.4793091,-0.00471383892,733.4793091,-0.006403752137,733.4793091,-0.004297123291,
733.0524902,-0.008687608875,733.0524902,-0.008543109521,733.0524902,-0.009067839012,733.0524902,-0.004467741586,733.0524902,-0.006236240733,733.0524902,-0.004118386656,
732.4832764,-0.008761133999,732.4832764,-0.00862178579,732.4832764,-0.009313168004,732.4832764,-0.004552334081,732.4832764,-0.006161316298,732.4832764,-0.004082538188,
732.0563354,-0.009045680985,732.0563354,-0.008946744725,732.0563354,-0.009154936299,732.0563354,-0.004606431816,732.0563354,-0.00653453311,732.0563354,-0.004236373585,
731.4869385,-0.009067229927,731.4869385,-0.009159955196,731.4869385,-0.009459589608,731.4869385,-0.004793672822,731.4869385,-0.006697851233,731.4869385,-0.00439117942,
731.0598755,-0.009113316424,731.0598755,-0.009444544092,731.0598755,-0.009588389657,731.0598755,-0.005190677475,731.0598755,-0.006752599962,731.0598755,-0.004695862532,
