is_2_3_31uM,,is_2_3_15uM,,is_2_3_62uM,,is_2_3_125uM,,is_2_3_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
748.9432373,-0.006448744331,748.9432373,-0.007076108363,748.9432373,-0.006998628844,748.9432373,-0.00740986038,748.9432373,-0.007128262892,
748.5187378,-0.006796587724,748.5187378,-0.006987268105,748.5187378,-0.007275575772,748.5187378,-0.007158869877,748.5187378,-0.007030671462,
747.9526978,-0.007245740388,747.9526978,-0.007227206603,747.9526978,-0.007334018592,747.9526978,-0.007430116646,747.9526978,-0.007181378547,
747.5280762,-0.00673312787,747.5280762,-0.007389145438,747.5280762,-0.007047379855,747.5280762,-0.007387363818,747.5280762,-0.007288507186,
746.961792,-0.006927861366,746.961792,-0.007342264988,746.961792,-0.007342519704,746.961792,-0.007299656514,746.961792,-0.007368072867,
746.5369873,-0.007217685226,746.5369873,-0.007300878409,746.5369873,-0.007617161609,746.5369873,-0.007648599334,746.5369873,-0.00756974658,
745.97052,-0.007167680189,745.97052,-0.007719554473,745.97052,-0.0078232456,745.97052,-0.00784927886,745.97052,-0.00775596872,
745.5455933,-0.007487317547,745.5455933,-0.007866056636,745.5455933,-0.007774072699,745.5455933,-0.007571527269,745.5455933,-0.007815566845,
744.9789429,-0.007446554955,744.9789429,-0.008003158495,744.9789429,-0.008015305735,744.9789429,-0.007989129983,744.9789429,-0.007575749885,
744.553833,-0.007843533531,744.553833,-0.007789989933,744.553833,-0.008127766661,744.553833,-0.008487265557,744.553833,-0.008168719709,
743.9869995,-0.008105510846,743.9869995,-0.009249061346,743.9869995,-0.008402268402,743.9869995,-0.008613106795,743.9869995,-0.008676799946,
743.5617676,-0.008621125482,743.5617676,-0.009122238494,743.5617676,-0.009116915986,743.5617676,-0.008829016238,743.5617676,-0.008554480039,
742.9946899,-0.007939111441,742.9946899,-0.008528945968,742.9946899,-0.008398815058,742.9946899,-0.008285357617,742.9946899,-0.008570063859,
742.5693359,-0.008026994765,742.5693359,-0.008341176435,742.5693359,-0.008421665989,742.5693359,-0.008415470831,742.5693359,-0.008337671869,
742.0020142,-0.008060232736,742.0020142,-0.00838038139,742.0020142,-0.008285763673,742.0020142,-0.008527270518,742.0020142,-0.008566206321,
741.4346313,-0.008808571845,741.4346313,-0.009015612304,741.4346313,-0.009088423103,741.4346313,-0.009722062387,741.4346313,-0.009227115661,
741.0090332,-0.00895511359,741.0090332,-0.009226000868,741.0090332,-0.009211149998,741.0090332,-0.009432791732,741.0090332,-0.00925869029,
740.4414673,-0.009078993462,740.4414673,-0.009316309355,740.4414673,-0.009221134707,740.4414673,-0.009733453393,740.4414673,-0.009528781287,
740.015686,-0.009148802608,740.015686,-0.009747931734,740.015686,-0.009604240768,740.015686,-0.009605961852,740.015686,-0.009541240521,
739.447876,-0.009446013719,739.447876,-0.009669257328,739.447876,-0.009487703443,739.447876,-0.009803663939,739.447876,-0.009806599468,
739.0219727,-0.008975043893,739.0219727,-0.009167000651,739.0219727,-0.009072706103,739.0219727,-0.009043197148,739.0219727,-0.009420176968,
738.4539795,-0.00904882513,738.4539795,-0.009373515844,738.4539795,-0.009188137949,738.4539795,-0.009575627744,738.4539795,-0.009570259601,
738.0279541,-0.009178355336,738.0279541,-0.009299840778,738.0279541,-0.009432386607,738.0279541,-0.009738869965,738.0279541,-0.009657509625,
737.4597778,-0.009891778231,737.4597778,-0.01006663777,737.4597778,-0.009917181917,737.4597778,-0.01029684301,737.4597778,-0.01051803213,
737.0335693,-0.009976079687,737.0335693,-0.009942685254,737.0335693,-0.009914651513,737.0335693,-0.01056618709,737.0335693,-0.01047224645,
736.4651489,-0.009223415516,736.4651489,-0.009509989992,736.4651489,-0.009486538358,736.4651489,-0.009518499486,736.4651489,-0.009629104286,
736.0388184,-0.009199086577,736.0388184,-0.009713557549,736.0388184,-0.009712393396,736.0388184,-0.009668193758,736.0388184,-0.009625306353,
735.4702148,-0.009740237147,735.4702148,-0.01000861172,735.4702148,-0.01010720525,735.4702148,-0.01031772327,735.4702148,-0.01029254496,
735.0437012,-0.009737351909,735.0437012,-0.01029658969,735.0437012,-0.00975775253,735.0437012,-0.01031721756,735.0437012,-0.01016653236,
734.4749146,-0.009587579407,734.4749146,-0.009985794313,734.4749146,-0.009744742885,734.4749146,-0.009980734438,734.4749146,-0.009873205796,
