mbg_3_146_7uM,,mbg_3_146_15uM,,mbg_3_146_31uM,,mbg_3_146_62uM,,mbg_3_146_125uM,,mbg_3_146_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
764.0400391,-0.003347479,764.0400391,-0.002949402,764.0400391,-0.002640505,764.0400391,-0.003100812,764.0400391,-0.003026064,764.0400391,-0.001922998
763.4771729,-0.002818205,763.4771729,-0.002832916,763.4771729,-0.00280226,763.4771729,-0.002973775,763.4771729,-0.002867222,763.4771729,-0.002388596
763.0549316,-0.003151698,763.0549316,-0.002955366,763.0549316,-0.002877097,763.0549316,-0.002572421,763.0549316,-0.002712026,763.0549316,-0.001864132
762.4918823,-0.003108162,762.4918823,-0.002713827,762.4918823,-0.002443891,762.4918823,-0.003291837,762.4918823,-0.002971769,762.4918823,-0.001730597
762.069519,-0.003038043,762.069519,-0.002562642,762.069519,-0.002676267,762.069519,-0.002411971,762.069519,-0.002821189,762.069519,-0.001890628
761.5062256,-0.002860484,761.5062256,-0.00278549,761.5062256,-0.00248425,761.5062256,-0.002513128,761.5062256,-0.002840786,761.5062256,-0.002268561
760.9428711,-0.002724271,760.9428711,-0.003256537,760.9428711,-0.00272103,760.9428711,-0.002563054,760.9428711,-0.002737596,760.9428711,-0.001849904
760.5202026,-0.002969507,760.5202026,-0.002628413,760.5202026,-0.002654502,760.5202026,-0.002789657,760.5202026,-0.002534077,760.5202026,-0.002044366
759.956604,-0.002946008,759.956604,-0.002993365,759.956604,-0.002523062,759.956604,-0.00241192,759.956604,-0.003045086,759.956604,-0.001910215
759.5338745,-0.003348095,759.5338745,-0.003236907,759.5338745,-0.003057168,759.5338745,-0.002906051,759.5338745,-0.002950944,759.5338745,-0.001966241
758.9700317,-0.003249805,758.9700317,-0.002969198,758.9700317,-0.003058761,758.9700317,-0.003038043,758.9700317,-0.002893914,758.9700317,-0.002187644
758.5471191,-0.003290141,758.5471191,-0.002946162,758.5471191,-0.002935723,758.5471191,-0.002805963,758.5471191,-0.002985344,758.5471191,-0.002084556
757.9831543,-0.003547331,757.9831543,-0.002721956,757.9831543,-0.003010178,757.9831543,-0.003065547,757.9831543,-0.003205714,757.9831543,-0.001905525
757.5600586,-0.003472352,757.5600586,-0.003423609,757.5600586,-0.003126307,757.5600586,-0.0030019,757.5600586,-0.003583275,757.5600586,-0.001870627
756.9958496,-0.003599911,756.9958496,-0.003544455,756.9958496,-0.00320741,756.9958496,-0.00311726,756.9958496,-0.003384518,756.9958496,-0.002118664
756.4315186,-0.003665883,756.4315186,-0.0031224,756.4315186,-0.003119162,756.4315186,-0.003254738,756.4315186,-0.003422838,756.4315186,-0.002352759
756.0081787,-0.003537933,756.0081787,-0.003446826,756.0081787,-0.00338498,756.0081787,-0.003030743,756.0081787,-0.003458228,756.0081787,-0.002411559
755.4436646,-0.003342444,755.4436646,-0.003325593,755.4436646,-0.00309598,755.4436646,-0.003183358,755.4436646,-0.003467678,755.4436646,-0.002526356
755.0202026,-0.00364812,755.0202026,-0.003254687,755.0202026,-0.003278375,755.0202026,-0.002945339,755.0202026,-0.003724557,755.0202026,-0.002710174
754.4554443,-0.003880418,754.4554443,-0.003749708,754.4554443,-0.00377147,754.4554443,-0.003184334,754.4554443,-0.003540501,754.4554443,-0.003084825
754.0317993,-0.003886319,754.0317993,-0.003838854,754.0317993,-0.003628201,754.0317993,-0.00341611,754.0317993,-0.003752942,754.0317993,-0.002950378
753.4669189,-0.003957738,753.4669189,-0.003847475,753.4669189,-0.003691346,753.4669189,-0.003345116,753.4669189,-0.003988877,753.4669189,-0.002816508
